EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-10608000,Human and Veterinary,Current,Ocular,"Eye drops, solvent for reconstitution",,,,,,
PDF-10609000,Human and Veterinary,Deprecated,Ocular,"Eye drops, prolonged-release",Ophthalmic Solution,ok,"allgemein, Freisetzung nicht wiedergegeben",,a solution intended for use in the eye,
PDF-10610000,Human and Veterinary,Current,Ocular,Eye lotion,Ophthalmic Solution,ok,,,a solution intended for use in the eye,
PDF-10611000,Human and Veterinary,Current,Ocular,"Eye lotion, solvent for reconstitution",,,,,,
PDF-10612000,Human and Veterinary,Current,Ocular,Ophthalmic insert,,,,,,
PDF-10613000,Human and Veterinary,Current,Ocular,Ophthalmic strip,,,,,,
PDF-10701000,Human and Veterinary,Current,Auricular,Ear cream,Otic Cream,ok,,,,
PDF-10702000,Human and Veterinary,Current,Auricular,Ear gel,Otic Gel,ok,,,a gel intended for use in the ear,
PDF-10703000,Human and Veterinary,Current,Auricular,Ear ointment,Otic Ointment,ok,,Otic Ointment,a ointment intended for use on or in the ear,
PDF-10704000,Human and Veterinary,Current,Auricular,"Ear drops, solution",Otic Solution,ok,,Otic Solution,a solution intended for use in the ear,
PDF-10705000,Human and Veterinary,Current,Auricular,"Ear drops, suspension",Otic Suspension,ok,,Otic Suspension,a suspension intended for use in the ear,
PDF-10706000,Human and Veterinary,Current,Auricular,"Ear drops, emulsion",,,,,,
PDF-10708000,Human and Veterinary,Current,Auricular,Ear powder,Topical Powder,ok,"sehr allgemein, nichts mit Ohr",,a powder intended for use on the outside surface of the body,
PDF-10709000,Human and Veterinary,Current,Auricular,"Ear spray, solution",Otic Solution,ok,"sehr allgemein, nicht erkennbar, das Spray",,a solution intended for use in the ear,
PDF-10710000,Human and Veterinary,Current,Auricular,"Ear spray, suspension",Otic Suspension,ok,"sehr allgemein, nicht erkennbar, das Spray",,a suspension intended for use in the ear,
PDF-10711000,Human and Veterinary,Current,Auricular,"Ear spray, emulsion",,,,,,
PDF-10712000,Human and Veterinary,Current,Auricular,"Ear wash, solution",Otic Solution,ok,sehr allgemein,,a solution intended for use in the ear,
PDF-10713000,Human and Veterinary,Current,Auricular,"Ear wash, emulsion",,,,,,
PDF-10714000,Human and Veterinary,Current,Auricular,Ear tampon,,,,,,
PDF-10715000,Human and Veterinary,Current,Auricular,Ear stick,,,,,,
PDF-10801000,Human and Veterinary,Current,Nasal,Nasal cream,Nasal Cream,ok,,,,
PDF-10802000,Human and Veterinary,Current,Nasal,Nasal gel,Nasal Gel,ok,,Nasal Gel,a gel intended for use on or in the nasal cavity,
PDF-10803000,Human and Veterinary,Current,Nasal,Nasal ointment,Nasal Ointment,ok,,Nasal Ointment,a ointment intended for use on or in the nose,
PDF-10804000,Human and Veterinary,Current,Nasal,"Nasal drops, solution",Nasal Solution,ok,"allgemein, wird nicht klar, dass Tropfen",Nasal Solution,a solution intended for use on the nasal mucosa,
PDF-10805000,Human and Veterinary,Current,Nasal,"Nasal drops, suspension",Nasal Suspension,ok,"allgemein, wird nicht klar, dass Tropfen",,,
PDF-10806000,Human and Veterinary,Current,Nasal,"Nasal drops, emulsion",,,,,,
PDF-10807000,Human and Veterinary,Current,Nasal,Nasal powder,Nasal Powder,ok,,Nasal Powder,a powder intended for use in the nasal cavity,
PDF-10808000,Human and Veterinary,Current,Nasal,"Nasal spray, solution",Nasal Spray,ok,,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),This and the following three also match the Metered Dose Nasal Spray
PDF-10809000,Human and Veterinary,Current,Nasal,"Nasal spray, suspension",Nasal Spray,ok,,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),
PDF-10810000,Human and Veterinary,Current,Nasal,"Nasal spray, emulsion",Nasal Spray,ok,,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),
PDF-10811000,Human and Veterinary,Current,Nasal,Nasal wash,Irrigation Solution,ok,,,a solution intended for use as a flushing or rinsing agent,
PDF-10812000,Human and Veterinary,Current,Nasal,Nasal stick,,,,,,
PDF-10900500,Human and Veterinary,Rejected,Vaginal,Intravaginal ring,,,,,,
PDF-10901000,Human and Veterinary,Current,Vaginal,Vaginal cream,Vaginal Cream,ok,,Vaginal Cream,a cream intended for use in or around the vagina,
PDF-10902000,Human and Veterinary,Current,Vaginal,Vaginal gel,Vaginal Gel,ok,,Vaginal Gel,a gel intended for use in or around the vagina,
PDF-10903000,Human and Veterinary,Current,Vaginal,Vaginal ointment,Vaginal Ointment,ok,,Vaginal Ointment,a ointment intended for use on or in the vagina,
PDF-10904000,Human and Veterinary,Current,Vaginal,Vaginal foam,Vaginal Foam,ok,,Vaginal Foam,a foam intended for use in the vagina,
PDF-10905000,Human and Veterinary,Current,Vaginal,Vaginal solution,,,,,,
PDF-10906000,Human and Veterinary,Current,Vaginal,Vaginal suspension,,,,,,
PDF-10907000,Human and Veterinary,Current,Vaginal,Vaginal emulsion,,,,,,
PDF-10908000,Human and Veterinary,Current,Vaginal,Tablet for vaginal solution,,,,,,
PDF-10909000,Human and Veterinary,Current,Vaginal,Pessary,Vaginal Insert,ok,allgemein,,"a solid form (tablet, capsule, or suppository) intended to be inserted into the vagina",
PDF-10910000,Human and Veterinary,Current,Vaginal,"Vaginal capsule, hard",Vaginal Insert,ok,allgemein,,"a solid form (tablet, capsule, or suppository) intended to be inserted into the vagina",
PDF-10911000,Human and Veterinary,Current,Vaginal,"Vaginal capsule, soft",Vaginal Insert,ok,allgemein,,"a solid form (tablet, capsule, or suppository) intended to be inserted into the vagina",
PDF-10912000,Human and Veterinary,Current,Vaginal,Vaginal tablet,Vaginal Insert,ok,allgemein,Vaginal Insert,"a solid form (tablet, capsule, or suppository) intended to be inserted into the vagina",
PDF-10913000,Human and Veterinary,Current,Vaginal,Effervescent vaginal tablet,Vaginal Insert,ok,allgemein,,"a solid form (tablet, capsule, or suppository) intended to be inserted into the vagina",
PDF-10914000,Human and Veterinary,Current,Vaginal,Medicated vaginal tampon,Vaginal Insert,ok,allgemein,,"a solid form (tablet, capsule, or suppository) intended to be inserted into the vagina",
PDF-10915000,Human and Veterinary,Current,Vaginal,Vaginal delivery system,Vaginal System,ok,,Vaginal System,a pliable delivery system surrounded by a polymeric membrane that provides controlled drug release to the vagina,
PDF-10916000,Veterinary only,Deprecated,Vaginal,Vaginal sponge,,,,,,
PDF-11001000,Human and Veterinary,Current,Rectal,Rectal cream,Rectal Cream,ok,,Rectal Cream,a cream intended for use in or around the rectum,
PDF-11002000,Human and Veterinary,Current,Rectal,Rectal gel,Rectal Gel,ok,,Rectal Gel,a gel intended for use in or around the rectum,
PDF-11003000,Human and Veterinary,Current,Rectal,Rectal ointment,Rectal Ointment,ok,,Rectal Ointment,a ointment intended for use on or in the rectum,
PDF-11004000,Human and Veterinary,Current,Rectal,Rectal foam,Rectal Foam,ok,,Rectal Foam,a foam intended for use in the rectum,
PDF-11005000,Human and Veterinary,Current,Rectal,Rectal solution,Rectal Solution,ok,,Rectal Solution,a solution intended for use in the rectum,
PDF-11006000,Human and Veterinary,Current,Rectal,Rectal suspension,Rectal Suspension,ok,,,,
PDF-11007000,Human and Veterinary,Current,Rectal,Rectal emulsion,,,,,,
PDF-11008000,Human and Veterinary,Current,Rectal,Concentrate for rectal solution,,,,,,
PDF-11009000,Human and Veterinary,Current,Rectal,Powder for rectal solution,,,,,,
PDF-11010000,Human and Veterinary,Current,Rectal,Powder for rectal suspension,,,,,,
PDF-11011000,Human and Veterinary,Current,Rectal,Tablet for rectal solution,,,,,,
PDF-11012000,Human and Veterinary,Current,Rectal,Tablet for rectal suspension,,,,,,
PDF-11013000,Human and Veterinary,Current,Rectal,Suppository,Rectal Suppository,ok,,Rectal Suppository,a suppository intended to be inserted into the rectum,
PDF-11014000,Human and Veterinary,Current,Rectal,Rectal capsule,Rectal Suppository,FALSE,"Rektalkapseln sind ähnlich, aber eine Zäpfchen",,a suppository intended to be inserted into the rectum,
PDF-11015000,Human and Veterinary,Current,Rectal,Rectal tampon,Rectal Suppository,FALSE,,,a suppository intended to be inserted into the rectum,
PDF-11100500,Human and Veterinary,Rejected,Pulmonary,Aerosol,Inhalation Spray,ok,,,a spray intended to be inhaled,
PDF-11101000,Human and Veterinary,Current,Pulmonary,Nebuliser solution,Inhalation Solution,ok,,,a solution intended to be inhaled,
PDF-11102000,Human and Veterinary,Current,Pulmonary,Nebuliser suspension,Inhalation Suspension,ok,,,a suspension intended to be inhaled,
PDF-11103000,Human and Veterinary,Current,Pulmonary,Powder for nebuliser suspension,,,,,,
PDF-11104000,Human and Veterinary,Current,Pulmonary,Powder for nebuliser solution,,,,,,
PDF-11105000,Human and Veterinary,Current,Pulmonary,Nebuliser emulsion,,,,,,
PDF-11106000,Human and Veterinary,Current,Pulmonary,"Pressurised inhalation, solution",Inhalation Solution,ok,,,a solution intended to be inhaled,
PDF-11107000,Human and Veterinary,Current,Pulmonary,"Pressurised inhalation, suspension",Inhalation Suspension,ok,,,a suspension intended to be inhaled,
PDF-11108000,Human and Veterinary,Current,Pulmonary,"Pressurised inhalation, emulsion",,,,,,
PDF-11109000,Human and Veterinary,Current,Pulmonary,Inhalation powder,Inhalation Powder,ok,,Inhalation Powder,a powdered medication that is intended to be inhaled,
PDF-11110000,Human and Veterinary,Current,Pulmonary,"Inhalation powder, hard capsule",Dry Powder Inhaler,ok,,,a powdered medication inhaled as a measured dose,
PDF-11111000,Human and Veterinary,Current,Pulmonary,"Inhalation powder, pre-dispensed",Dry Powder Inhaler,ok,,,a powdered medication inhaled as a measured dose,
PDF-11112000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, powder",,,,,,
PDF-11113000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, capsule",,,,,,
PDF-11114000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, solution",Inhalation Solution,ok,,Inhalation Solution,a solution intended to be inhaled,
PDF-11115000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, tablet",,,,,,
PDF-11116000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, ointment",,,,,,
PDF-11117000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, liquid",,,,,,
PDF-11118000,Human and Veterinary,Deprecated,Pulmonary,Inhalation gas,Gas for Inhalation,ok,,,a gas that can be breathed into the nose or mouth,
PDF-11201000,Human and Veterinary,Current,Parenteral,Solution for injection,Injectable Solution,ok,,Injectable Solution,a multiple use solution or reconstituted powder intended to be injected,
PDF-11202000,Human and Veterinary,Current,Parenteral,Suspension for injection,Injectable Suspension,ok,,Injectable Suspension,a multiple use suspension or reconstituted powder intended to be injected,
PDF-11203000,Human and Veterinary,Current,Parenteral,Emulsion for injection,,,,,,
PDF-11204000,Human and Veterinary,Current,Parenteral,Gel for injection,,,,,,
PDF-11205000,Human and Veterinary,Current,Parenteral,Powder for solution for injection,Injectable Solution,,aus dem Pulver wird die Lösung hergestellt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-11206000,Human and Veterinary,Current,Parenteral,Powder for suspension for injection,Injectable Suspension,,aus dem Pulver wird die Suspension hergestellt,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-11208400,Human and Veterinary,Current,Parenteral,Powder for prolonged-release suspension for injection,,,,,,
PDF-11208500,Human and Veterinary,Current,Parenteral,Prolonged-release suspension for injection,Injectable Suspension,ok,"allgemein, Art der Freisetzung fehlt",,a multiple use suspension or reconstituted powder intended to be injected,
PDF-11209000,Human and Veterinary,Current,Parenteral,Concentrate for solution for injection,,,,,,
PDF-11209500,Human and Veterinary,Current,Parenteral,Solution for cardioplegia,,,,,,
PDF-11210000,Human and Veterinary,Current,Parenteral,Solution for infusion,Injectable Solution,ok,,,a multiple use solution or reconstituted powder intended to be injected,
PDF-11211000,Human and Veterinary,Current,Parenteral,Emulsion for infusion,,,,,,
PDF-11211500,Human and Veterinary,Current,Parenteral,Powder for dispersion for infusion,Injectable Suspension,ok,die Suspenion wird hergestellt,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-11212000,Human and Veterinary,Current,Parenteral,Powder for solution for infusion,Injectable Solution,ok,die Lösung wird hergestellt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-11213000,Human and Veterinary,Current,Parenteral,Concentrate for solution for infusion,Injectable Solution,ok,die Lösung wird hergestellt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-11215000,Veterinary only,Current,Parenteral,Lyophilisate for solution for infusion,Injectable Solution,ok,die Lösung wird hergestellt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-11216000,Human and Veterinary,Current,Parenteral,Solvent for parenteral use,,,,,,
PDF-11217000,Veterinary only,Current,Parenteral,Lyophilisate for solution for injection,Injectable Solution,ok,s.o.,,a multiple use solution or reconstituted powder intended to be injected,
PDF-11218000,Veterinary only,Current,Parenteral,Lyophilisate for suspension for injection,Injectable Suspension,ok,s.o.,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-11301000,Human and Veterinary,Current,Parenteral,Implant,Drug Implant,ok,,Drug Implant,a solid form inserted into the body that releases medication over time,
PDF-11302000,Human and Veterinary,Current,Parenteral,Implantation tablet,,,,,,
PDF-11303000,Human and Veterinary,Current,Parenteral,Implantation chain,,,,,,
PDF-11303300,Human and Veterinary,Current,Parenteral,Implantation matrix,,,,,,
PDF-11303500,Human and Veterinary,Current,Parenteral,Implantation suspension,,,,,,
PDF-11303750,Human and Veterinary,Rejected,Parenteral,Kit for implant,,,,,,
PDF-11401000,Human and Veterinary,Current,Intraperitoneal,Solution for peritoneal dialysis,,,,,,
PDF-11402000,Human and Veterinary,Current,"Extracorporeal, Parenteral",Solution for haemofiltration,,,,,,
PDF-11403000,Human and Veterinary,Current,"Extracorporeal, Parenteral",Solution for haemodiafiltration,,,,,,
PDF-11404000,Human and Veterinary,Current,"Extracorporeal, Parenteral",Solution for haemodialysis,,,,,,
PDF-11405000,Human and Veterinary,Current,"Extracorporeal, Parenteral",Concentrate for solution for haemodialysis,,,,,,
PDF-11501000,Human and Veterinary,Deprecated,Intravesical,Solution for intravesical use,Intravesical Solution,ok,,,a solution intended for instillation into the bladder,
PDF-11502000,Human and Veterinary,Current,Intravesical,Bladder irrigation,Irrigation Solution,ok,,,a solution intended for use as a flushing or rinsing agent,
PDF-11502500,Human and Veterinary,Current,Intravesical,Intravesical solution,Intravesical Solution,ok,,,a solution intended for instillation into the bladder,
PDF-11503000,Human and Veterinary,Current,Intravesical,Powder for bladder irrigation,Irrigation Solution,ok,wird hergestellt,,a solution intended for use as a flushing or rinsing agent,
PDF-11504000,Human and Veterinary,Current,Urethral,Urethral gel,Urethral Gel,ok,,,,
PDF-11505000,Human and Veterinary,Current,Urethral,Urethral stick,Urethral Suppository,FALSE,Ein Zäpfchen ist kein Stöpsel,Urethral Suppository,a suppository intended to be inserted into the urethra,
PDF-11601000,Human and Veterinary,Current,Pulmonary,"Endotracheopulmonary instillation, solution",,,,,,
PDF-11602000,Human and Veterinary,Current,Pulmonary,"Endotracheopulmonary instillation, powder for solution",,,,,,
PDF-11603000,Human and Veterinary,Current,Pulmonary,"Endotracheopulmonary instillation, suspension",Intratracheal Suspension,ok,,Intratracheal Suspension,a suspension intended for use in the trachea,
PDF-11701000,Human and Veterinary,Current,Endocervical,Endocervical gel,,,,,,
PDF-11801000,Veterinary only,Current,Intramammary,Intramammary solution,,,,,,
PDF-11802000,Veterinary only,Current,Intramammary,Intramammary suspension,,,,,,
PDF-11803000,Veterinary only,Current,Intramammary,Intramammary emulsion,,,,,,
PDF-11804000,Veterinary only,Current,Intramammary,Intramammary ointment,,,,,,
PDF-11805000,Veterinary only,Current,Intramammary,Teat stick,,,,,,
PDF-11901000,Human and Veterinary,Current,Intrauterine,Intrauterine delivery system,Intrauterine System,ok,,Intrauterine System,a drug delivery system inserted and left in the uterus to provide uniform release of drugs over several years,
PDF-11902000,Veterinary only,Current,Intrauterine,Intrauterine solution,,,,,,
PDF-11903000,Veterinary only,Current,Intrauterine,Intrauterine suspension,,,,,,
PDF-11904000,Veterinary only,Current,Intrauterine,Intrauterine emulsion,,,,,,
PDF-11905000,Veterinary only,Current,Intrauterine,Intrauterine tablet,,,,,,
PDF-11906000,Veterinary only,Current,Intrauterine,Intrauterine capsule,,,,,,
PDF-12001000,Veterinary only,Current,Environmental,Bee-hive strip,,,,,,
PDF-12001500,Veterinary only,Current,Environmental,Bee-hive gel,,,,,,
PDF-12002000,Veterinary only,Current,Environmental,Bee smoke paper,,,,,,
PDF-12003000,Veterinary only,Current,Environmental,Bee smoke stick,,,,,,
PDF-12004000,Veterinary only,Current,Environmental,Nebulisation solution,,,,,,
PDF-12100500,Human and Veterinary,Rejected,Unknown/Miscellaneous,Absorbable coated sponge,,,,,,
PDF-12101000,Human and Veterinary,Current,Unknown/Miscellaneous,Denture lacquer,,,,,,
PDF-12102000,Human and Veterinary,Current,Extracorporeal,Anticoagulant and preservative solution for blood,,,,,,
PDF-12103000,Human and Veterinary,Current,Extracorporeal,Solution for blood fraction modification,,,,,,
PDF-12104000,Human and Veterinary,Current,Unknown/Miscellaneous,Wound stick,,,,,,
PDF-12105000,Human and Veterinary,Current,Unknown/Miscellaneous,Radiopharmaceutical precursor,,,,,,
PDF-12106000,Human and Veterinary,Current,Unknown/Miscellaneous,Radionuclide generator,,,,,,
PDF-12107000,Human and Veterinary,Current,Unknown/Miscellaneous,Kit for radiopharmaceutical preparation,,,,,,
PDF-12108000,Human and Veterinary,Current,Gastroenteral,Gastroenteral solution,,,,,,
PDF-12109000,Human and Veterinary,Deprecated,Unknown/Miscellaneous,Dispersion,,,,,,
PDF-12109900,Human and Veterinary,Rejected,Unknown/Miscellaneous,Frozen solution for sealant,,,,,,
PDF-12110000,Human and Veterinary,Current,Gastroenteral,Gastroenteral suspension,,,,,,
PDF-12111000,Human and Veterinary,Current,Gastroenteral,Gastroenteral emulsion,,,,,,
PDF-12111500,Human and Veterinary,Current,Intraperitoneal,Intraperitoneal solution,Intraperitoneal Solution,ok,,Intraperitoneal Solution,a solution intended for use in the peritoneal cavity,
PDF-12112000,Human and Veterinary,Current,Extracorporeal,Solution for organ preservation,,,,,,
PDF-12113000,Human and Veterinary,Current,Unknown/Miscellaneous,Irrigation solution,Irrigation Solution,ok,,Irrigation Solution,a solution intended for use as a flushing or rinsing agent,
PDF-12114000,Human and Veterinary,Current,Gastric,Stomach irrigation,Irrigation Solution,ok,,,a solution intended for use as a flushing or rinsing agent,
PDF-12115000,Human and Veterinary,Current,Unknown/Miscellaneous,Sealant,,,,,,
PDF-12115100,Human and Veterinary,Current,Unknown/Miscellaneous,Sealant matrix,,,,,,
PDF-12115200,Human and Veterinary,Current,Unknown/Miscellaneous,Sealant powder,,,,,,
PDF-12115500,Human and Veterinary,Rejected,Unknown/Miscellaneous,Solution for perfusion of organs,,,,,,
PDF-12117000,Human and Veterinary,Current,Unknown/Miscellaneous,Impregnated pad,,,,,,
PDF-12117500,Human and Veterinary,Current,Unknown/Miscellaneous,Impregnated plug,,,,,,
PDF-12118000,Human and Veterinary,Current,Parenteral,Living tissue equivalent,,,,,,
PDF-12118500,Veterinary only,Current,Oculonasal,Lyophilisate for oculonasal suspension,,,,,,
PDF-12119000,Human and Veterinary,Current,Unknown/Miscellaneous,Medicated sponge,,,,,,
PDF-12120000,Human and Veterinary,Current,Intestinal,Intestinal gel,,,,,,
PDF-12130000,Human and Veterinary,Current,Unknown/Miscellaneous,Medicated thread,,,,,,
PDF-12131000,Human and Veterinary,Current,"Nasal, Ocular, Pulmonary",Solution for provocation test,,,,,,
PDF-12301000,Human and Veterinary,Current,Pulmonary,"Medicinal gas, compressed",Gas for Inhalation,ok,,,a gas that can be breathed into the nose or mouth,
PDF-12302000,Human and Veterinary,Current,Pulmonary,"Medicinal gas, cryogenic",Gas for Inhalation,ok,,,a gas that can be breathed into the nose or mouth,
PDF-12303000,Human and Veterinary,Current,Pulmonary,"Medicinal gas, liquefied",Gas for Inhalation,ok,,,a gas that can be breathed into the nose or mouth,
PDF-13001000,Human and Veterinary,Current,Parenteral,Concentrate for concentrate for solution for infusion,,,,,,
PDF-13002000,Human and Veterinary,Current,Pulmonary,Concentrate for nebuliser solution,Inhalation Solution,ok,wird hergestellt,,a solution intended to be inhaled,
PDF-13003000,Human and Veterinary,Current,Oromucosal,Concentrate for oromucosal solution,Mucous Membrane Topical Solution,ok,wird hergestellt,,an oral solution intended for use on the mucous membranes,
PDF-13004000,Human and Veterinary,Current,Parenteral,Concentrate for suspension for injection,Injectable Suspension,ok,wird hergestellt,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-13005000,Human and Veterinary,Current,Parenteral,Dispersion for concentrate for dispersion for infusion,,,,,,
PDF-13006000,Human and Veterinary,Current,Auricular,"Ear drops, powder for suspension",,,,,,
PDF-13007000,Human and Veterinary,Current,Oral,Effervescent granules for oral suspension,,,,,,
PDF-13008000,Human and Veterinary,Current,Parenteral,Emulsion for emulsion for injection,,,,,,
PDF-13009000,Human and Veterinary,Current,Pulmonary,"Endotracheopulmonary instillation, powder for suspension",,,,,,
PDF-13010000,Human and Veterinary,Current,Ocular,"Eye drops, powder for solution",,,,,,
PDF-13011000,Human and Veterinary,Current,Ocular,"Eye drops, powder for suspension",,,,,,
PDF-13012000,Human and Veterinary,Current,Parenteral,Gas for dispersion for infusion,,,,,,
PDF-13013000,Human and Veterinary,Current,Parenteral,Gas for dispersion for injection,,,,,,
PDF-13014000,Human and Veterinary,Current,Cutaneous,Gel for gel,Topical Gel,ok,,,a gel intended for use on the skin,
PDF-13015000,Human and Veterinary,Current,Rectal,Granules for rectal suspension,Rectal Suspension,ok,wird hergestellt,,,
PDF-13016000,Human and Veterinary,Current,Oromucosal,Laryngopharyngeal solution,,,,,,
PDF-13017000,Human and Veterinary,Current,Oromucosal,"Laryngopharyngeal spray, solution",,,,,,
PDF-13018000,Human and Veterinary,Current,Parenteral,Matrix for implantation matrix,,,,,,
PDF-13019000,Veterinary only,Current,Nasal,"Nasal drops, lyophilisate for suspension",Nasal Suspension,ok,Tropfen fwhlt,,,
PDF-13020000,Human and Veterinary,Current,Nasal,"Nasal drops, powder for solution",Powder for Nasal Solution,ok,Tropfen fwhlt,Powder for Nasal Solution,"a powder, which, upon the addition of suitable vehicles, yields a solution intended for use on the nasal mucosa",
PDF-13021000,Human and Veterinary,Current,Cutaneous,Powder for gel,Topical Gel,ok,wird hergestellt,,a gel intended for use on the skin,
PDF-13022000,Human and Veterinary,Current,Dental,Powder for dental gel,,,,,,
PDF-13023000,Human and Veterinary,Current,Parenteral,Powder for dispersion for injection,Injectable Suspension,ok,wird hergestellt,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-13024000,Human and Veterinary,Current,Endocervical,Powder for endocervical gel,,,,,,
PDF-13025000,Human and Veterinary,Current,Nasal,Powder for endosinusial solution,Powder for Nasal Solution,ok,,,"a powder, which, upon the addition of suitable vehicles, yields a solution intended for use on the nasal mucosa",
PDF-13026000,Human and Veterinary,Current,Oromucosal,Powder for gingival gel,,,,,,
PDF-13027000,Human and Veterinary,Current,Parenteral,Powder for implantation matrix,,,,,,
PDF-13028000,Human and Veterinary,Current,Parenteral,Powder for implantation paste,,,,,,
PDF-13029000,Human and Veterinary,Current,Ocular,Powder for intraocular instillation solution,Ophthalmic Irrigation Solution,ok,,,an irrigation solution intended for use in the eye,
PDF-13031000,Human and Veterinary,Current,Unknown/Miscellaneous,Powder for sealant,,,,,,
PDF-13032000,Human and Veterinary,Current,Cutaneous,Powder for solution for skin-prick test,,,,,,
PDF-13033000,Human and Veterinary,Current,Parenteral,Solution for solution for injection,,,,,,
PDF-13034000,Human and Veterinary,Pending,Unknown/Miscellaneous,Solution for spray,,,,,,
PDF-13035000,Human and Veterinary,Current,Unknown/Miscellaneous,Solvent for...,,,,,,
PDF-13036000,Human and Veterinary,Current,Parenteral,Suspension for emulsion for injection,,,,,,
PDF-13037000,Human and Veterinary,Current,Oral,Suspension for oral suspension,,,,,,
PDF-13038000,Human and Veterinary,Pending,Unknown/Miscellaneous,Suspension for spray,,,,,,
PDF-13039000,Human and Veterinary,Current,Parenteral,Suspension for suspension for injection,,,,,,
PDF-13040000,Human and Veterinary,Current,Parenteral,Powder for emulsion for injection,,,,,,
PDF-13041000,Human and Veterinary,Current,Nasal,Endosinusial solution,Nasal Solution,ok,,,a solution intended for use on the nasal mucosa,
PDF-13042000,Human and Veterinary,Current,Unknown/Miscellaneous,Epilesional solution,,,,,,
PDF-13043000,Human and Veterinary,Current,Parenteral,Implantation paste,,,,,,
PDF-13044000,Human and Veterinary,Current,Ocular,Intraocular instillation solution,Ophthalmic Irrigation Solution,ok,,Ophthalmic Irrigation Solution,an irrigation solution intended for use in the eye,
PDF-13045000,Human and Veterinary,Current,Intravesical,Intravesical suspension,Intravesical Suspension,ok,,,a suspension intended for instillation into the bladder,
PDF-13046000,Human and Veterinary,Current,Oral,Coated granules,Oral Granules,ok,,,granules intended to be taken by mouth,
PDF-13047000,Human and Veterinary,Current,Parenteral,Solution for suspension for injection,,,,,,
PDF-13048000,Human and Veterinary,Current,Parenteral,Granules for suspension for injection,,,,,,
PDF-13049000,Human and Veterinary,Current,Parenteral,Dispersion for injection/infusion,Injectable Suspension,,"? ich weiß nicht, was das ist",,a multiple use suspension or reconstituted powder intended to be injected,
PDF-13050000,Human and Veterinary,Current,Parenteral,Gas for dispersion for injection/infusion,,,,,,
