EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-13051000,Human and Veterinary,Current,"Cutaneous, Parenteral",Solution for injection/skin-prick test,Injectable Solution,ok,,,a multiple use solution or reconstituted powder intended to be injected,
PDF-13052000,Human and Veterinary,Current,"Cutaneous, Parenteral",Powder for solution for injection/skin-prick test,,,,,,
PDF-13054000,Veterinary only,Current,Environmental,Solution for bee-hive strip,,,,,,
PDF-13055000,Veterinary only,Current,Oral,Solution for use in drinking water/milk,,,,,,
PDF-13056000,Veterinary only,Current,Environmental,Powder for solution for fish treatment,,,,,,
PDF-13058000,Human and Veterinary,Rejected,Oral,Caplet,,,,,,
PDF-13061000,Human and Veterinary,Current,Parenteral,Solution for solution for infusion,,,,,,
PDF-13065000,Veterinary only,Current,Intramammary,Intramammary gel,,,,,,
PDF-13066000,Human and Veterinary,Current,Cutaneous,Tablet for cutaneous solution,,,,,,
PDF-13067000,Veterinary only,Current,Oral,Lyophilisate for oral suspension,,,,,,
PDF-13076000,Human and Veterinary,Current,Parenteral,Prolonged-release solution for injection,Injectable Solution,ok,"allgemein, Verzögerung nicht genannt",,a multiple use solution or reconstituted powder intended to be injected,
PDF-13077000,Human and Veterinary,Current,Urethral,Urethral emulsion,,,,,,
PDF-13078000,Veterinary only,Current,Environmental,Bee-hive solution,,,,,,
PDF-13079000,Veterinary only,Current,Environmental,Powder for bee-hive solution,,,,,,
PDF-13080000,Veterinary only,Current,Environmental,Solution for bee-hive solution,,,,,,
PDF-13082000,Veterinary only,Current,Environmental,Bee-hive dispersion,,,,,,
PDF-13084000,Veterinary only,Current,Oral,"Oral spray, suspension",,,,,,
PDF-13085000,Veterinary only,Current,Oral,"Concentrate for concentrate for oral spray, suspension",,,,,,
PDF-13087000,Veterinary only,Current,Oculonasal,Oculonasal suspension,,,,,,
PDF-13089000,Veterinary only,Current,Oral,"Lyophilisate for oral spray, suspension",,,,,,
PDF-13091000,Human and Veterinary,Current,Parenteral,Emulsion for suspension for injection,,,,,,
PDF-13096000,Veterinary only,Current,Nasal,"Nasal spray, lyophilisate for suspension",,,,,,
PDF-13098000,Veterinary only,Current,"Oculonasal, Oral",Lyophilisate for oculonasal suspension/use in drinking water,,,,,,
PDF-13099000,Veterinary only,Current,Environmental,Powder for bee-hive dispersion,,,,,,
PDF-13100000,Veterinary only,Current,Environmental,Solution for bee-hive dispersion,,,,,,
PDF-13102000,Human and Veterinary,Current,Transdermal,Transdermal ointment,Topical Ointment,ok,,,a ointment intended for use on or in the skin,
PDF-13105000,Human and Veterinary,Current,Sublingual,Sublingual powder,Sublingual Powder,ok,,Sublingual Powder,a powder intended for use under the tongue,
PDF-13106000,Human and Veterinary,Current,Oral,Oral herbal material,,,,,,
PDF-13107000,Human and Veterinary,Current,"Extracorporeal, Parenteral",Solution for cardioplegia/organ preservation,,,,,,
PDF-13111000,Human and Veterinary,Current,Vaginal,Powder for vaginal solution,,,,,,
PDF-13113000,Human and Veterinary,Current,Intrauterine,Intrauterine gel,,,,,,
PDF-13115000,Human and Veterinary,Current,Cutaneous,Medicinal leech,,,,,,
PDF-13116000,Veterinary only,Current,Parenteral,Lyophilisate for emulsion for injection,,,,,,
PDF-13118000,Human and Veterinary,Current,Oral,Tablet with sensor,Oral Tablet,ok,allgemein,,a tablet containing medicated materials to be taken by mouth,
PDF-13123000,Human and Veterinary,Current,Urethral,Urethral ointment,,,,,,
PDF-13124000,Human and Veterinary,Current,Cutaneous,Medicinal larvae,,,,,,
PDF-13126000,Human and Veterinary,Current,Parenteral,Prolonged-release dispersion for injection,Injectable Suspension,ok,Verzögerung fehlt,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-13127000,Human and Veterinary,Current,Sublingual,Sublingual lyophilisate,,,,,,
PDF-13128000,Human and Veterinary,Current,Unknown/Miscellaneous,extended ,,,,,,
PDF-13129000,Human and Veterinary,Current,Pulmonary,Nebuliser dispersion,,,,,,
PDF-13133000,Human and Veterinary,Current,Oral,Gastro-resistant oral suspension,Oral Suspension,ok,"allgemein, magensaftresistent fehlt",,a suspension intended to be taken by mouth,
PDF-13134000,Human and Veterinary,Current,Oral,Prolonged-release oral suspension,Extended Release Suspension,ok,,Extended Release Suspension,a suspension that allows for a timed or controlled release of the solute,
PDF-13135000,Human and Veterinary,Current,Oral,Modified-release oral suspension,Extended Release Suspension,ok,,,a suspension that allows for a timed or controlled release of the solute,
PDF-13136000,Human and Veterinary,Deprecated,Oral,Gastro-resistant powder for oral suspension,,,,,,
PDF-13139000,Human and Veterinary,Current,Parenteral,Concentrate for dispersion for injection,,,,,,
PDF-13140000,Human and Veterinary,Current,"Cutaneous, Oromucosal",Cutaneous/oromucosal solution,Topical Solution,ok,,,a solution intended for use on a surface (do not use for Oral Solutions),
PDF-13141000,Human and Veterinary,Current,Oromucosal,Oromucosal pouch,,,,,,
PDF-13145000,Human and Veterinary,Current,Cutaneous,Impregnated cutaneous swab,,,,,,
PDF-13148000,Human and Veterinary,Current,Vaginal,Prolonged-release pessary,Vaginal Insert,ok,allgemein,,"a solid form (tablet, capsule, or suppository) intended to be inserted into the vagina",
PDF-13149000,Human and Veterinary,Current,Oromucosal,Oromucosal film,Oral Film,ok,allgemein,,a thin sheet placed in the oral cavity and contains one or more layers,
PDF-13152000,Human and Veterinary,Current,Parenteral,Concentrate for emulsion for injection,,,,,,
PDF-13154000,Human and Veterinary,Current,Oral,Film-coated granules,Oral Granules,ok,,,granules intended to be taken by mouth,
PDF-13158000,Veterinary only,Current,Oculonasal,Effervescent tablet for oculonasal suspension,,,,,,
PDF-13159000,Human and Veterinary,Current,Ocular,"Eye drops, prolonged-release solution",Ophthalmic Solution,ok,"allgemein, Tropfen und veränderte Freisetzung fehlt",,a solution intended for use in the eye,
PDF-13162000,Human and Veterinary,Current,Cutaneous,Concentrate for cutaneous emulsion,,,,,,
PDF-13163000,Veterinary only,Current,Oral,Granules for use in drinking water/milk,,,,,,
PDF-13164000,Human and Veterinary,Rejected,Unknown/Miscellaneous,"Mucosal spray, solution",Mucosal Spray,ok,,,a spray intended for use on the mucous membranes,
PDF-13165000,Human and Veterinary,Current,Cutaneous,Suspension for gel,,,,,,
PDF-13167000,Human and Veterinary,Current,Oromucosal,"Oromucosal drops, emulsion",,,,,,
PDF-13168000,Human and Veterinary,Current,Oromucosal,"Oromucosal drops, solution",Mucous Membrane Topical Solution,ok,Tropfen fehlt,,an oral solution intended for use on the mucous membranes,
PDF-13169000,Human and Veterinary,Current,Oromucosal,"Oromucosal drops, suspension",Oral Suspension,ok,,,a suspension intended to be taken by mouth,
PDF-13174000,Veterinary only,Current,Environmental,Bee-hive powder,,,,,,
PDF-13175000,Human and Veterinary,Current,Oral,Prolonged-release chewable tablet,Extended Release Oral Tablet,ok,Kautablette fehlt,,a tablet whose contents are slowly released over an extended period of time at a controlled rate,
PDF-13176000,Human and Veterinary,Current,Oral,Powder for prolonged-release oral suspension,Powder for Oral Suspension,ok,"allgemein, veränderte Freisetzung bzw. magensaftresistent fehlt",,"a powder, which, upon the addition of suitable vehicles, yields a suspension intended to be taken by mouth",
PDF-13177000,Human and Veterinary,Current,Oral,Granules for gastro-resistant oral suspension,Granules for Oral Suspension,ok,"allgemein, veränderte Freisetzung bzw. magensaftresistent fehlt",,granules to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-13178000,Human and Veterinary,Current,Oral,Powder for gastro-resistant oral suspension,Powder for Oral Suspension,ok,"allgemein, veränderte Freisetzung bzw. magensaftresistent fehlt",,"a powder, which, upon the addition of suitable vehicles, yields a suspension intended to be taken by mouth",
PDF-13179000,Human and Veterinary,Current,Oral,Granules for modified-release oral suspension,Granules for Oral Suspension,ok,"allgemein, veränderte Freisetzung bzw. magensaftresistent fehlt",,granules to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-13180000,Human and Veterinary,Current,Oral,Granules for prolonged-release oral suspension,Granules for Oral Suspension,ok,"allgemein, veränderte Freisetzung bzw. magensaftresistent fehlt",,granules to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-13184000,Human and Veterinary,Current,"Nasal, Ocular, Pulmonary",Powder for solution for provocation test,,,,,,
PDF-13186000,Human and Veterinary,Current,Parenteral,Implantation gel,,,,,,
PDF-13187000,Human and Veterinary,Current,Parenteral,Dispersion for implantation gel,,,,,,
PDF-13188000,Human and Veterinary,Current,Parenteral,Solution for implantation gel,,,,,,
PDF-13190000,Human and Veterinary,Current,Ocular,Intracameral implant,,,,,,
PDF-13191000,Human and Veterinary,Current,Ocular,Intravitreal implant,,,,,,
PDF-13193000,Veterinary only,Current,Oral,"Oral suspension, bait",,,,,,
PDF-13196000,Human and Veterinary,Current,Sublingual,Sublingual solution,,,,,,
PDF-13197000,Human and Veterinary,Current,Oral,Granules in capsule for opening,Oral Granules,ok,Kapseln zum Öffnen fehlt,,granules intended to be taken by mouth,
PDF-13198000,Human and Veterinary,Current,Oral,Oral powder in capsule for opening,Oral Powder,,Kapseln zum Öffnen fehlt,,"a powder given orally, often sprinkled on or mixed with food. Not for powders mixed with liquids",
PDF-13200000,Human and Veterinary,Current,Intravesical,Intravesical delivery system,,,,,,
PDF-13202000,Veterinary only,Current,Intramammary,Intramammary foam,,,,,,
PDF-13203000,Human and Veterinary,Current,"Intravesical, Parenteral",Concentrate for intravesical solution/solution for injection,,,,,,
PDF-30047500,Human and Veterinary,Deprecated,Unknown/Miscellaneous,Pouch,,,,,,
PDF-50001000,Human and Veterinary,Current,Oral,Chewable/dispersible tablet,,,,,,
PDF-50009000,Human and Veterinary,Current,Cutaneous,"Concentrate for cutaneous spray, emulsion",Topical Spray,ok,,Topical Spray,a spray intended for use on the skin,
PDF-50009300,Human and Veterinary,Current,Parenteral,Concentrate for dispersion for infusion,,,,,,
PDF-50009500,Human and Veterinary,Current,Parenteral,Concentrate for emulsion for infusion,,,,,,
PDF-50009750,Human and Veterinary,Current,Intravesical,Concentrate for intravesical solution,,,,,,
PDF-50010000,Human and Veterinary,Current,Oral,Concentrate for oral solution,Oral Solution,ok,Lösung wird hergestellt,,"a solution intended to be taken by mouth. For solutions applied to the teeth, use Mouthwash",
PDF-50011000,Human and Veterinary,Current,"Oral, Rectal",Concentrate for oral/rectal solution,,,,,,
PDF-50012000,Human and Veterinary,Deprecated,Intraperitoneal,Concentrate for peritoneal dialysis solution,,,,,,
PDF-50013000,Human and Veterinary,Deprecated,Intravesical,Concentrate for solution for intravesical use,Intravesical Solution,ok,s.o.,,a solution intended for instillation into the bladder,
PDF-50013250,Human and Veterinary,Current,Intraperitoneal,Concentrate for solution for peritoneal dialysis,,,,,,
PDF-50013500,Veterinary only,Current,Unknown/Miscellaneous,Concentrate for spray emulsion,,,,,,
PDF-50014000,Human and Veterinary,Deprecated,Parenteral,Concentrate for suspension for infusion,,,,,,
PDF-50015000,Human and Veterinary,Deprecated,"Cutaneous, Nasal",Cutaneous and nasal ointment,,,,,,
PDF-50015100,Human and Veterinary,Deprecated,"Auricular, Cutaneous",Cutaneous/ear drops suspension,,,,,,
PDF-50015200,Human and Veterinary,Current,"Cutaneous, Nasal",Cutaneous/nasal ointment,,,,,,
PDF-50015300,Human and Veterinary,Rejected,"Cutaneous, Oral, Oromucosal",Cutaneous/oromucosal/oral solution,,,,,,
PDF-50015400,Human and Veterinary,Rejected,"Cutaneous, Oromucosal",Cutaneous/oromucosal spray,,,,,,
PDF-50015450,Human and Veterinary,Current,"Cutaneous, Oromucosal",Cutaneous solution/concentrate for oromucosal solution,,,,,,
PDF-50015500,Human and Veterinary,Current,Cutaneous,"Cutaneous spray, emulsion",Topical Spray,ok,,,a spray intended for use on the skin,
PDF-50016000,Human and Veterinary,Current,Cutaneous,"Cutaneous spray, ointment",Topical Spray,ok,,,a spray intended for use on the skin,
PDF-50017000,Human and Veterinary,Current,Dental,Dental paste,Paste,ok,"allgemein, dental fehlt",,"a smooth, viscous mixture of material; semisolid in nature",
PDF-50017500,Human and Veterinary,Current,Parenteral,Dispersion for infusion,Injectable Suspension,ok,,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-50018000,Human and Veterinary,Current,"Auricular, Ocular","Ear/eye drops, solution",,,,,,
PDF-50018500,Human and Veterinary,Current,"Auricular, Ocular","Ear/eye drops, suspension",,,,,,
PDF-50019000,Human and Veterinary,Current,"Auricular, Ocular",Ear/eye ointment,,,,,,
PDF-50019500,Human and Veterinary,Current,"Auricular, Nasal, Ocular","Ear/eye/nasal drops, solution",,,,,,
PDF-50020000,Human and Veterinary,Deprecated,"Auricular, Nasal, Ocular","Ear/eye/nose drops, solution",,,,,,
PDF-50020200,Human and Veterinary,Current,"Auricular, Nasal","Ear/nasal drops, suspension",,,,,,
PDF-50020500,Human and Veterinary,Rejected,Buccal,Effervescent buccal tablet,,,,,,
PDF-50021000,Human and Veterinary,Current,Parenteral,Emulsion for injection/infusion,,,,,,
PDF-50022000,Human and Veterinary,Current,Nasal,"Endosinusial wash, suspension",Irrigation Solution,ok,,,a solution intended for use as a flushing or rinsing agent,
PDF-50023500,Human and Veterinary,Rejected,Oral,Film coated gastro-resistant tablet,,,,,,
PDF-50024000,Human and Veterinary,Current,Oromucosal,Gargle/mouthwash,Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-50024500,Human and Veterinary,Current,"Nasal, Oromucosal",Gargle/nasal wash,Irrigation Solution,ok,,,a solution intended for use as a flushing or rinsing agent,
PDF-50025000,Human and Veterinary,Deprecated,Oral,Gastro-resistant coated tablet,Delayed Release Oral Tablet,ok,,,a solid dosage form which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms),
PDF-50026000,Human and Veterinary,Deprecated,Oral,Gastro-resistant granules for oral suspension,,,,,,
PDF-50026250,Human and Veterinary,Deprecated,Oral,Gastro-resistant prolonged-release tablet,Delayed Release Oral Tablet,ok,,,a solid dosage form which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms),
PDF-50028000,Human and Veterinary,Deprecated,"Oral, Rectal",Granules for oral and rectal suspension,,,,,,
PDF-50029000,Human and Veterinary,Deprecated,Oral,"Granules for oral drops, solution",Granules for Oral Solution,ok,,,granules to be reconstituted with solvent just before dispensing to form a solution intended to be taken by mouth,
PDF-50029150,Human and Veterinary,Current,"Oral, Rectal",Granules for oral/rectal suspension,Granules for Oral Suspension,ok,,,granules to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-50029250,Veterinary only,Current,Oral,Granules for use in drinking water,,,,,,
PDF-50029500,Human and Veterinary,Current,Vaginal,Granules for vaginal solution,,,,,,
PDF-50029600,Human and Veterinary,Rejected,Oral,Hard capsule with gastro-resistant pellets,,,,,,
PDF-50029800,Human and Veterinary,Deprecated,Pulmonary,Inhalation impregnated pad,,,,,,
PDF-50030000,Human and Veterinary,Current,Pulmonary,"Inhalation powder, tablet",Dry Powder Inhaler,ok,tablet fehlt,,a powdered medication inhaled as a measured dose,
PDF-50031000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, effervescent tablet",,,,,,
PDF-50032000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, emulsion",,,,,,
PDF-50033000,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, impregnated pad",,,,,,
PDF-50033100,Human and Veterinary,Current,Pulmonary,"Inhalation vapour, impregnated plug",,,,,,
PDF-50033300,Veterinary only,Current,Intrauterine,Intrauterine foam,,,,,,
PDF-50033400,Human and Veterinary,Current,"Intravesical, Parenteral",Intravesical solution/solution for injection,Injectable Solution,ok,Anwendungsort fehlt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-50034000,Human and Veterinary,Deprecated,Pulmonary,Liquefied gas for dental use,,,,,,
PDF-50034700,Veterinary only,Current,Oral,Lyophilisate for use in drinking water,,,,,,
PDF-50035000,Human and Veterinary,Deprecated,Oral,Modified-release film-coated tablet,Delayed Release Oral Tablet,ok,,,a solid dosage form which releases a drug (or drugs) at a time other than promptly after oral administration (enteric-coated particles are delayed release dosage forms),
PDF-50036000,Human and Veterinary,Deprecated,Oral,Modified-release granules for oral suspension,Granules for Oral Suspension,ok,veränderte Freistzung fehlt,,granules to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-50036050,Human and Veterinary,Current,Oromucosal,"Mouthwash, powder for solution",Mouthwash,ok,,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-50036100,Human and Veterinary,Rejected,Buccal,Muco-adhesive buccal prolonged-release tablet,,,,,,
PDF-50036500,Human and Veterinary,Current,"Nasal, Oromucosal",Nasal/oromucosal solution,Nasal Solution,ok,,,a solution intended for use on the nasal mucosa,
PDF-50036700,Human and Veterinary,Current,"Nasal, Oromucosal","Nasal/oromucosal spray, solution",Nasal Spray,ok,,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),
PDF-50037000,Human and Veterinary,Deprecated,"Nasal, Oromucosal",Nasal spray and oromucosal solution,Nasal Spray,,sind das 2 Sachen?,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),
PDF-50037100,Human and Veterinary,Current,Nasal,"Nasal spray, powder for solution",Nasal Spray,ok,,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),
PDF-50037400,Human and Veterinary,Current,"Nasal, Oromucosal","Nasal spray, solution/oromucosal solution",Nasal Spray,ok,,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),
PDF-50037500,Human and Veterinary,Current,Oral,"Oral drops, granules for solution",Granules for Oral Solution,ok,Tropfen fehlt,,granules to be reconstituted with solvent just before dispensing to form a solution intended to be taken by mouth,
PDF-50037750,Human and Veterinary,Current,Oral,"Oral drops, liquid",,,,,,
PDF-50037900,Human and Veterinary,Current,"Oral, Rectal",Oral/rectal solution,Oral Solution,,rectal fehlt,,"a solution intended to be taken by mouth. For solutions applied to the teeth, use Mouthwash",
PDF-50038000,Human and Veterinary,Current,"Oral, Rectal",Oral/rectal suspension,Oral Suspension,,rectal fehlt,,a suspension intended to be taken by mouth,
PDF-50038500,Human and Veterinary,Current,"Oral, Pulmonary",Oral solution/concentrate for nebuliser solution,,,,,,
PDF-50039000,Human and Veterinary,Current,Oromucosal,Oromucosal patch,,,,,,
PDF-50039500,Human and Veterinary,Current,Oromucosal,Oromucosal/laryngopharyngeal solution,Oral Solution,ok,,,"a solution intended to be taken by mouth. For solutions applied to the teeth, use Mouthwash",
PDF-50040000,Human and Veterinary,Deprecated,Oromucosal,Oromucosal/laryngopharyngeal solution/spray,Oral Spray,ok,,,a spray intended to be applied into the oral cavity,
PDF-50040500,Human and Veterinary,Current,Oromucosal,"Oromucosal/laryngopharyngeal solution/spray, solution",Oral Spray,ok,solution fehlt,,a spray intended to be applied into the oral cavity,
PDF-50043000,Human and Veterinary,Current,Parenteral,Powder for concentrate for solution for infusion,,,,,,
PDF-50048750,Human and Veterinary,Current,Parenteral,Powder for concentrate for dispersion for infusion,,,,,,
PDF-50049000,Human and Veterinary,Deprecated,"Extracorporeal, Parenteral",Powder for concentrate for haemodialysis solution,,,,,,
PDF-50049100,Human and Veterinary,Current,Intravesical,Powder for concentrate for intravesical suspension,,,,,,
PDF-50049200,Human and Veterinary,Current,"Extracorporeal, Parenteral",Powder for concentrate for solution for haemodialysis,,,,,,
PDF-50049250,Human and Veterinary,Current,Parenteral,Powder for concentrate for solution for injection/infusion,,,,,,
PDF-50049270,Human and Veterinary,Current,Dental,Powder for dental solution,,,,,,
PDF-50049300,Human and Veterinary,Current,Unknown/Miscellaneous,Powder for epilesional solution,,,,,,
PDF-50049500,Human and Veterinary,Current,Parenteral,Powder for implantation suspension,,,,,,
PDF-50050000,Human and Veterinary,Current,Intravesical,Powder for intravesical solution,Intravesical Solution,ok,wird hergestellt,,a solution intended for instillation into the bladder,
PDF-50050500,Human and Veterinary,Current,"Intravesical, Parenteral",Powder for intravesical solution/solution for injection,,,,,,
PDF-50051000,Human and Veterinary,Current,Intravesical,Powder for intravesical suspension,Intravesical Suspension,ok,wird hergestellt,,a suspension intended for instillation into the bladder,
PDF-50051100,Human and Veterinary,Deprecated,Oromucosal,Powder for mouth wash,Mouthwash,ok,wird hergestellt,,an oral solution intended to be used as a rinse or for irrigation. This includes oral solutions that are applied to the teeth,
PDF-50051500,Human and Veterinary,Rejected,"Parenteral, Pulmonary",Powder for nebuliser solution/solution for injection/infusion,,,,,,
PDF-50052000,Human and Veterinary,Current,"Oral, Rectal",Powder for oral/rectal suspension,Powder for Oral Suspension,ok,rectal fehlt,,"a powder, which, upon the addition of suitable vehicles, yields a suspension intended to be taken by mouth",
PDF-50053000,Human and Veterinary,Deprecated,Parenteral,Powder for solution for injection or infusion,Injectable Solution,ok,wird hergestellt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-50053500,Human and Veterinary,Current,Parenteral,Powder for solution for injection/infusion,Injectable Solution,ok,wird hergestellt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-50054000,Human and Veterinary,Deprecated,Intravesical,Powder for solution for intravesical use,,,,,,
PDF-50055000,Human and Veterinary,Deprecated,Nasal,Powder for solution for nasal spray,Nasal Spray,ok,wird hergestellt,,a nasal solution intended for use in the nasal cavity delivered by a spray (see also Metered Dose Nasal Spray & Nasal Inhalant),
PDF-50055150,Human and Veterinary,Deprecated,Parenteral,Powder for solution/suspension for injection,,,,,,
PDF-50055250,Veterinary only,Current,Oral,Powder for use in drinking water/milk,,,,,,
PDF-50055500,Human and Veterinary,Rejected,Oral,Prolonged-release film-coated tablet,,,,,,
PDF-50056000,Human and Veterinary,Deprecated,Oral,Prolonged-release granules for oral suspension,Granules for Oral Suspension,ok,verzögerte Freisetzung fehlt,,granules to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-50056500,Human and Veterinary,Current,Unknown/Miscellaneous,"Radiopharmaceutical precursor, solution",,,,,,
PDF-50057000,Human and Veterinary,Current,"Extracorporeal, Parenteral",Solution for haemodialysis/haemofiltration,,,,,,
PDF-50058000,Human and Veterinary,Deprecated,"Oral, Parenteral",Solution for infusion and oral solution,,,,,,
PDF-50059000,Human and Veterinary,Rejected,Parenteral,Solution for injection/concentrate for solution for infusion,,,,,,
PDF-50059500,Veterinary only,Rejected,Parenteral,Solution for injection for euthanasia,,,,,,
PDF-50060000,Human and Veterinary,Current,Parenteral,Solution for injection/infusion,Injectable Solution,ok,,,a multiple use solution or reconstituted powder intended to be injected,
PDF-50060700,Human and Veterinary,Rejected,"Parenteral, Rectal",Solution for injection/infusion/rectal use,,,,,,
PDF-50061000,Human and Veterinary,Deprecated,Intraperitoneal,Solution for intraperitoneal use,,,,,,
PDF-50061300,Veterinary only,Current,Oral,Solution for use in drinking water,,,,,,
PDF-50061500,Human and Veterinary,Current,Unknown/Miscellaneous,Solution for sealant,,,,,,
PDF-50061600,Human and Veterinary,Rejected,Nasal,Solvent for nasal use,,,,,,
PDF-50063000,Human and Veterinary,Deprecated,Parenteral,Suspension for infusion,Injectable Suspension,ok,,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-50063500,Veterinary only,Current,Oral,Suspension for use in drinking water,,,,,,
PDF-50066000,Human and Veterinary,Deprecated,Oral,Tablet for oral suspension,Tablet for Oral Suspension,ok,,,a tablet to be reconstituted with diluent prior to administration to form a suspension intended to be taken by mouth,
PDF-50068000,Veterinary only,Current,Cutaneous,Teat dip/spray solution,,,,,,
PDF-50070000,Veterinary only,Deprecated,Oral,Oral suspension for use in drinking water,,,,,,
PDF-50072000,Veterinary only,Current,Oral,Powder for use in drinking water,,,,,,
PDF-50073000,Human and Veterinary,Current,Ocular,Powder for solution for intraocular irrigation,Ophthalmic Irrigation Solution,ok,wird hergestellt,,an irrigation solution intended for use in the eye,
PDF-50073500,Human and Veterinary,Current,Ocular,Solution for intraocular irrigation,Ophthalmic Irrigation Solution,ok,,,an irrigation solution intended for use in the eye,
PDF-50074000,Human and Veterinary,Current,Ocular,Solvent for solution for intraocular irrigation,,,,,,
PDF-50076000,Human and Veterinary,Current,Parenteral,Solvent for solution for infusion,,,,,,
PDF-50077000,Human and Veterinary,Current,Parenteral,Dispersion for injection,Injectable Suspension,ok,,,a multiple use suspension or reconstituted powder intended to be injected,
PDF-50079000,Human and Veterinary,Current,Parenteral,Concentrate for solution for injection/infusion,Injectable Solution,ok,wird hergestellt,,a multiple use solution or reconstituted powder intended to be injected,
PDF-50081000,Human and Veterinary,Current,Pulmonary,Inhalation solution,Inhalation Solution,ok,,,a solution intended to be inhaled,
PDF-50082000,Human and Veterinary,Current,Oral,"Oral drops, powder for suspension",Powder for Oral Suspension,ok,Tropfen fehlt,,"a powder, which, upon the addition of suitable vehicles, yields a suspension intended to be taken by mouth",